Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Hendry Co. BOCC,Labelle,FL,44980,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,20,MB,Bus,DO,6,0,,0,,0,,0,,"784,023",,"784,023",,0,
"City of Sheboygan, dba: Shoreline Metro",Sheboygan,WI,50088,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,81118,"Sheboygan, WI","74,369",20,DR,Demand Response,DO,5,0,,0,,0,,0,,"820,433",,"820,433",,0,
Central West Virginia Transit Authority,,WV,30119,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,20,DR,Demand Response,DO,5,0,,0,,0,,0,,"186,347",,"186,347",,0,
"Craven County, dba: Craven Area Rural Transit System",New Bern,NC,40210,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,37,North Carolina Non-UZA,"4,506,122",20,MB,Bus,DO,3,0,,0,,0,,0,,"147,283",,"147,283",,0,
"Harbor Transit Multi-Modal Transportation System, dba: Harbor Transit",Grand Haven,MI,50196,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,60841,"Muskegon--Norton Shores, MI","166,414",20,MB,Bus,DO,2,0,,0,,0,,0,,"131,697",,"131,697",,0,
"Cass County Council on Aging , dba: Cass Area Transit",Logansport,IN,50281,Private-Non-Profit Corporation,Rural Reporter,2022,,,,20,MB,Bus,DO,2,0,,0,,0,,0,,"429,618",,"429,618",,0,
"Senior Center Resources and Public Transit, Inc.",Greenville,TX,60176,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,19,DR,Demand Response,DO,19,0,,0,,0,,0,,"1,915,997",,"1,915,997",,0,
Terrebonne Council on Aging,Houma,LA,60232,Area Agency on Aging,Rural Reporter,2022,,,,19,DR,Demand Response,DO,19,0,,0,,0,,0,,"437,496",,"437,496",,0,
Jackson County Mass Transit District,Carbondale,IL,50204,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,17,Illinois Non-UZA,"2,638,201",19,MB,Bus,DO,19,"1,304,494",,"129,351",,0,,"412,621",,0,,"1,846,466",,0,
CRIS Rural Mass Transit District,Danville,IL,50223,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,19,DR,Demand Response,DO,19,0,,0,,0,,0,,"1,435,084",,"1,435,084",,0,
"City of Charlottesville, dba: Charlottesville Area Transit",Charlottesville,VA,30036,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,15724,"Charlottesville, VA","104,191",19,MB,Bus,DO,19,0,,0,,0,,0,,"9,836,029",,"9,836,029",,0,
Newberry County Council on Aging,Newberry,SC,41022,Area Agency on Aging,Rural Reporter,2022,,,,19,DR,Demand Response,DO,19,0,,0,,0,,0,,"1,040,714",,"1,040,714",,0,
"City of Asheville, dba: ART (Asheville Redefines Transit)",Asheville,NC,40005,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,3358,"Asheville, NC","285,776",19,MB,Bus,PT,19,"3,831,656",,"1,996,110",,"1,903,815",,"2,819,034",,0,,"10,550,615",,0,
"Aroostook Regional Transportation Systems, Inc.",Presque Isle,ME,10142,Private-Non-Profit Corporation,Rural Reporter,2022,,,,19,DR,Demand Response,DO,19,0,,0,,0,,0,,"2,068,705",,"2,068,705",,0,
Delta Area Transit Authority,Escanaba,MI,50356,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,19,DR,Demand Response,DO,19,0,,0,,0,,0,,"1,740,065",,"1,740,065",,0,
Mid-Ohio Regional Planning Commission,Columbus,OH,50191,"MPO, COG or Other Planning Agency",Full Reporter,2022,19234,"Columbus, OH","1,567,254",19,VP,Vanpool,PT,19,"59,201",,"5,293",,"5,964",,"325,152",,0,,"395,610",,0,
South East Texas Regional Planning Commission,Beaumont,TX,60155,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,19,DR,Demand Response,DO,19,0,,0,,0,,0,,"1,600,132",,"1,600,132",,0,
Muscogee (Creek) Nation,Okmulgee,OK,66170,Tribe,Reduced Reporter,2022,40,Oklahoma Non-UZA,"1,994,607",19,DR,Demand Response,DO,18,0,,0,,0,,0,,"1,011,353",,"1,011,353",,0,
Cherokee County Board of Commissioners,Canton,GA,40161,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,3817,"Atlanta, GA","5,100,112",19,DR,Demand Response,DO,17,0,,0,,0,,0,,"838,544",,"838,544",,0,
University of Texas Rio Grande Valley,Edinburg,TX,60273,University,Reduced Reporter,2022,52390,"McAllen, TX","779,553",19,MB,Bus,DO,16,0,,0,,0,,0,,"1,614,309",,"1,614,309",,0,
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,40047,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,3763,"Athens-Clarke County, GA","143,213",19,MB,Bus,DO,16,"3,249,537",,"721,768",,"351,671",,"967,379",,0,,"5,290,355",,0,
Warren County,Belvidere,NJ,20928,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,DR,Demand Response,PT,15,0,,0,,0,,0,,"1,266,638",,"1,266,638",,0,
City of Huntington Park,Huntington Park,CA,90267,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",19,DR,Demand Response,TX,14,0,,0,,0,,0,,"455,801",,"455,801",,0,
Nassau Council on Aging,Fernandina Beach,FL,41114,Private-Non-Profit Corporation,Rural Reporter,2022,29608,"Fernandina Beach--Yulee, FL","50,805",19,DR,Demand Response,DO,14,0,,0,,0,,0,,"1,175,454",,"1,175,454",,0,
City of Madera,Madera,CA,90199,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,52984,"Madera, CA","81,635",19,MB,Bus,PT,13,0,,0,,0,,0,,"1,681,016",,"1,681,016",,0,
"City of Wilsonville, dba: South Metro Area Regional Transit",Wilsonville,OR,00046,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",19,MB,Bus,DO,13,"2,879,486",,"746,410",,"21,087",,"1,327,143",,0,,"4,974,126",,0,
Ozark Regional Transit,Springdale,AR,60072,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,29494,"Fayetteville--Springdale--Rogers, AR--MO","373,687",19,MB,Bus,DO,12,0,,0,,0,,0,,"3,876,373",,"3,876,373",,0,
Fremont County Association of Governments,Riverton,WY,80121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,DR,Demand Response,DO,12,0,,0,,0,,0,,"834,436",,"834,436",,0,
Augusta Richmond County Transit Department,Augusta,GA,40023,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,4222,"Augusta-Richmond County, GA--SC","431,480",19,MB,Bus,PT,12,"2,816,861",,"1,180,471",,"340,186",,"657,653",,0,,"4,995,171",,0,
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System",Lafayette,LA,60038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,46045,"Lafayette, LA","227,316",19,MB,Bus,DO,11,"2,647,071",,"476,973",,"104,176",,"1,071,255",,0,,"4,299,475",,0,
Macatawa Area Express Transportation Authority,Holland,MI,50184,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,39430,"Holland, MI","107,034",19,DR,Demand Response,DO,11,"1,561,293",,"200,007",,"196,560",,"769,908",,0,,"2,727,768",,0,
"Indiana County Transit Authority, dba: IndiGO",Indiana,PA,30177,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,19,MB,Bus,DO,11,0,,0,,0,,0,,"2,596,004",,"2,596,004",,0,
"The County Commissioners of Caroline County, Maryland",Denton,MD,30186,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,MB,Bus,DO,10,0,,0,,0,,0,,"687,052",,"687,052",,0,
Tillamook County Transportation District,Tillamook,OR,00296,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,DR,Demand Response,DO,10,0,,0,,0,,0,,"1,012,562",,"1,012,562",,0,
"The County Commissioners of Caroline County, Maryland",Denton,MD,30186,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,DR,Demand Response,DO,9,0,,0,,0,,0,,"538,127",,"538,127",,0,
City of Carson,Carson,CA,90258,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",19,DR,Demand Response,TX,8,0,,0,,0,,0,,"251,177",,"251,177",,0,
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System",Lafayette,LA,60038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,46045,"Lafayette, LA","227,316",19,DR,Demand Response,PT,8,"466,047",,"117,457",,"50,271",,"202,893",,0,,"836,668",,0,
Macatawa Area Express Transportation Authority,Holland,MI,50184,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,39430,"Holland, MI","107,034",19,MB,Bus,DO,8,"1,540,293",,"206,594",,"203,035",,"795,264",,0,,"2,745,186",,0,
"Indiana County Transit Authority, dba: IndiGO",Indiana,PA,30177,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,19,DR,Demand Response,DO,8,0,,0,,0,,0,,"711,377",,"711,377",,0,
Ozark Regional Transit,Springdale,AR,60072,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,29494,"Fayetteville--Springdale--Rogers, AR--MO","373,687",19,DR,Demand Response,DO,7,0,,0,,0,,0,,"896,664",,"896,664",,0,
Augusta Richmond County Transit Department,Augusta,GA,40023,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,4222,"Augusta-Richmond County, GA--SC","431,480",19,DR,Demand Response,PT,7,"634,769",,"231,424",,"90,279",,"258,781",,0,,"1,215,253",,0,
Fremont County Association of Governments,Riverton,WY,80121,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,MB,Bus,DO,7,0,,0,,0,,0,,"397,524",,"397,524",,0,
City of Carson,Carson,CA,90258,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",19,DR,Demand Response,TN,7,0,,0,,0,,0,,"66,578",,"66,578",,0,
"City of Wilsonville, dba: South Metro Area Regional Transit",Wilsonville,OR,00046,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",19,DR,Demand Response,DO,6,"529,669",,"155,169",,"5,259",,"340,941",,0,,"1,031,038",,0,
City of Madera,Madera,CA,90199,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,52984,"Madera, CA","81,635",19,DR,Demand Response,PT,6,0,,0,,0,,0,,"1,180,371",,"1,180,371",,0,
Tillamook County Transportation District,Tillamook,OR,00296,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,MB,Bus,DO,5,0,,0,,0,,0,,"1,451,338",,"1,451,338",,0,
City of Huntington Park,Huntington Park,CA,90267,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",19,MB,Bus,PT,5,0,,0,,0,,0,,"1,276,266",,"1,276,266",,0,
Nassau Council on Aging,Fernandina Beach,FL,41114,Private-Non-Profit Corporation,Rural Reporter,2022,29608,"Fernandina Beach--Yulee, FL","50,805",19,MB,Bus,DO,5,0,,0,,0,,0,,"45,167",,"45,167",,0,
City of Carson,Carson,CA,90258,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",19,MB,Bus,DO,4,0,,0,,0,,0,,"63,058",,"63,058",,0,
Tillamook County Transportation District,Tillamook,OR,00296,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,CB,Commuter Bus,DO,4,0,,0,,0,,0,,"911,305",,"911,305",,0,
Warren County,Belvidere,NJ,20928,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,19,MB,Bus,PT,4,0,,0,,0,,0,,"402,101",,"402,101",,0,
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,40047,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,3763,"Athens-Clarke County, GA","143,213",19,DR,Demand Response,DO,3,"218,750",,"87,983",,"39,076",,"107,197",,0,,"453,006",,0,
University of Texas Rio Grande Valley,Edinburg,TX,60273,University,Reduced Reporter,2022,52390,"McAllen, TX","779,553",19,MB,Bus,PT,3,0,,0,,0,,0,,"430,656",,"430,656",,0,
Cherokee County Board of Commissioners,Canton,GA,40161,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,3817,"Atlanta, GA","5,100,112",19,MB,Bus,DO,2,0,,0,,0,,0,,"635,360",,"635,360",,0,
Muscogee (Creek) Nation,Okmulgee,OK,66170,Tribe,Reduced Reporter,2022,40,Oklahoma Non-UZA,"1,994,607",19,MB,Bus,DO,1,0,,0,,0,,0,,"53,141",,"53,141",,0,
University of Texas Rio Grande Valley,Edinburg,TX,60273,University,Reduced Reporter,2022,52390,"McAllen, TX","779,553",19,DR,Demand Response,DO,0,0,,0,,0,,0,,0,,0,,0,
"Regional Transportation Program, Inc.",Westbrook,ME,10069,Private-Non-Profit Corporation,Reduced Reporter,2022,71263,"Portland, ME","205,356",18,DR,Demand Response,DO,18,0,,0,,0,,0,,"2,737,237",,"2,737,237",,0,
Gladwin City/County Transit,Gladwin,MI,50395,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,DR,Demand Response,DO,18,0,,0,,0,,0,,"2,000,724",,"2,000,724",,0,
Charlevoix County Public Transportation,Boyne City,MI,50313,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,DR,Demand Response,DO,18,0,,0,,0,,0,,"1,551,418",,"1,551,418",,0,
"University of Kansas, dba: KU Transportation Services",Lawrence,KS,70044,University,Full Reporter,2022,48232,"Lawrence, KS","94,998",18,MB,Bus,PT,18,"2,327,185",,"531,435",,"123,959",,"610,101",,0,,"3,592,680",,0,
"Tri-Valley Opportunity Council, Inc.",Crookston,MN,50353,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,DR,Demand Response,DO,12,0,,0,,0,,0,,"3,242,303",,"3,242,303",,0,
"Greene County Transit Board, dba: Greene CATS Public Transit",Xenia,OH,50165,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22528,"Dayton, OH","674,046",18,DR,Demand Response,PT,18,"2,043,272",,"474,440",,"68,948",,"779,539",,0,,"3,366,199",,0,
Berrien County Public Transportation,Saint Joseph,MI,50463,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,DR,Demand Response,PT,18,0,,0,,0,,0,,"717,597",,"717,597",,0,
"Aspermont Small Business Development Center, Inc.",Aspermont,TX,60202,Private-Non-Profit Corporation,Rural Reporter,2022,,,,18,DR,Demand Response,DO,18,0,,0,,0,,0,,"1,129,240",,"1,129,240",,0,
MIDAS Council of Governments,Fort Dodge,IA,70256,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,18,DR,Demand Response,DO,18,0,,0,,0,,0,,"1,049,535",,"1,049,535",,0,
Navajo Nation,Fort Defiance,AZ,90005,Tribe,Reduced Reporter,2022,4,Arizona Non-UZA,"1,296,856",18,CB,Commuter Bus,DO,18,0,,0,,0,,0,,"2,038,732",,"2,038,732",,0,
Chenango County,Norwich,NY,20935,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,MB,Bus,DO,18,0,,0,,0,,0,,"3,033,933",,"3,033,933",,0,
Yates Township Transportation System,Idlewild,MI,50476,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,DR,Demand Response,DO,18,0,,0,,0,,0,,"1,711,880",,"1,711,880",,0,
Ludington Mass Transportation Authority,Ludington,MI,50459,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,DR,Demand Response,DO,18,0,,0,,0,,0,,"2,018,974",,"2,018,974",,0,
"City of Clemson, dba: Clemson Area Transit",Clemson,SC,40208,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,2420,"Anderson--Clemson, SC","118,369",18,MB,Bus,DO,18,"1,949,554",,"518,689",,"50,093",,"762,894",,0,,"3,281,230",,0,
"Licking County, Ohio, dba: Licking County Transit Board",Newark,OH,50163,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,61705,"Newark, OH","81,223",18,DR,Demand Response,DO,18,"2,173,294",,"364,489",,"40,217",,"590,743",,0,,"3,168,743",,0,
"Paratransit, Inc.",Sacramento,CA,90223,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,77068,"Sacramento, CA","1,946,618",18,DR,Demand Response,DO,18,"932,963",,"173,722",,"57,387",,"544,704",,0,,"1,708,776",,0,
Kankakee-Iroquois Regional Planning Commission,Monon,IN,55310,"MPO, COG or Other Planning Agency",Rural Reporter,2022,,,,18,DR,Demand Response,DO,18,0,,0,,0,,0,,"1,069,928",,"1,069,928",,0,
"Miami County, Ohio , dba: Miami County Public Transit",Troy,OH,50169,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,22528,"Dayton, OH","674,046",18,DR,Demand Response,PT,18,"777,359",,"219,985",,"7,206",,"678,435",,0,,"1,682,985",,0,
Chatham Transit Network,Pittsboro,NC,41004,Private-Non-Profit Corporation,Rural Reporter,2022,,,,18,DR,Demand Response,DO,17,0,,0,,0,,0,,"1,607,085",,"1,607,085",,0,
Central Shenandoah Planning District Commission,Staunton,VA,30989,"MPO, COG or Other Planning Agency",Reduced Reporter,2022,84630,"Staunton--Waynesboro, VA","59,065",18,MB,Bus,PT,16,0,,0,,0,,0,,"1,636,197",,"1,636,197",,0,
"City of Camarillo, dba: Camarillo Area Transit",Camarillo,CA,90163,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,12754,"Camarillo, CA","76,338",18,DR,Demand Response,PT,16,0,,0,,0,,0,,"2,016,013",,"2,016,013",,0,
"Confederated Salish and Kootenai Tribes, dba: CSKT Transit",Pablo,MT,88134,Tribe,Reduced Reporter,2022,30,Montana Non-UZA,"688,772",18,DR,Demand Response,DO,16,0,,0,,0,,0,,"1,371,366",,"1,371,366",,0,
OSU-Stillwater Community Transit,Stillwater,OK,60160,University,Rural Reporter,2022,,,,18,MB,Bus,DO,16,0,,0,,0,,0,,"3,222,067",,"3,222,067",,0,
Wilkes Transportation Authority,Wilkesboro,NC,40918,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,DR,Demand Response,DO,16,0,,0,,0,,0,,"1,016,433",,"1,016,433",,0,
Transp. Administration of Cleveland County. Inc,Shelby,NC,41082,Private-Non-Profit Corporation,Rural Reporter,2022,,,,18,DR,Demand Response,DO,16,0,,0,,0,,0,,"1,447,458",,"1,447,458",,0,
Sumter County Board of County Commissioners,Wildwood,FL,40999,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,87285,"The Villages--Lady Lake, FL","161,736",18,DR,Demand Response,PT,16,0,,0,,0,,0,,"1,022,840",,"1,022,840",,0,
City of Glendale,Glendale,AZ,90034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,69184,"Phoenix--Mesa--Scottsdale, AZ","3,976,313",18,DR,Demand Response,DO,15,"1,767,734",,"166,182",,"74,736",,"482,460",,0,,"2,491,112",,0,
Incorporated County of Los Alamos,Los Alamos,NM,60215,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,MB,Bus,DO,15,0,,0,,0,,0,,"3,797,219",,"3,797,219",,0,
"City of Redondo Beach, dba: Beach Cities Transit",Redondo Beach,CA,90214,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",18,MB,Bus,PT,14,"2,206,542",,"570,081",,"113,848",,"968,245",,0,,"3,858,716",,0,
"County of Citrus, dba: Citrus County Transit",Inverness,FL,41157,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,7472,"Beverly Hills--Homosassa Springs--Pine Ridge, FL","96,729",18,DR,Demand Response,DO,14,0,,0,,0,,0,,"1,663,841",,"1,663,841",,0,
Greater Lynchburg Transit Company,Lynchburg,VA,30008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,52201,"Lynchburg, VA","125,596",18,MB,Bus,DO,14,"3,801,522",,"1,228,652",,"339,299",,"1,570,580",,0,,"6,940,053",,0,
City and Borough of Juneau,Juneau,AK,00391,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,18,MB,Bus,DO,13,0,,0,,0,,0,,"5,925,355",,"5,925,355",,0,
"City of Rapid City, dba: Rapid Transit System",Rapid City,SD,80014,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,73396,"Rapid City, SD","85,679",18,DR,Demand Response,DO,12,0,,0,,0,,0,,"1,376,177",,"1,376,177",,0,
"City of High Point, dba: High Point Transit System",High Point,NC,40011,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,38809,"High Point, NC","167,830",18,MB,Bus,DO,12,0,,0,,0,,0,,"3,913,387",,"3,913,387",,0,
"City of Beaumont, dba: Beaumont Municipal Transit System",Beaumont,TX,60016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,6058,"Beaumont, TX","146,649",18,MB,Bus,PT,12,"2,530,612",,"927,451",,"134,069",,"1,157,855",,0,,"4,749,987",,0,
"City of Mankato , dba: Mankato Transit System",Mankato,MN,50205,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,53983,"Mankato, MN","60,206",18,MB,Bus,DO,12,0,,0,,0,,0,,"3,475,621",,"3,475,621",,0,
Productive Alternatives,Fergus Falls,MN,50504,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,DR,Demand Response,DO,12,0,,0,,0,,0,,"1,007,136",,"1,007,136",,0,
Fairbanks North Star Borough,Fairbanks,AK,00045,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,28549,"Fairbanks, AK","71,396",18,MB,Bus,DO,12,0,,0,,0,,0,,"7,935,239",,"7,935,239",,0,
Kalkaska Public Transit Authority,Kalkaska,MI,50282,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,DR,Demand Response,DO,12,0,,0,,0,,0,,"682,383",,"682,383",,0,
"Orange County , dba: Orange County Public Transportation",Hillsborough,NC,40231,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,25228,"Durham, NC","396,118",18,DR,Demand Response,DO,11,0,,0,,0,,0,,"1,999,943",,"1,999,943",,0,
"County of Mesa, dba: Mesa County",Grand Junction,CO,80016,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,34273,"Grand Junction, CO","135,973",18,MB,Bus,PT,11,0,,0,,0,,0,,"3,793,635",,"3,793,635",,0,
Umpqua Public Transportation District,Roseburg,OR,00459,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,18,DR,Demand Response,PT,11,0,,0,,0,,0,,"1,164,127",,"1,164,127",,0,
"Town of Huntington, dba: Huntington Area Rapid Transit",Huntington,NY,20071,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",18,DR,Demand Response,DO,10,"1,428,056",,"383,507",,"87,367",,"338,868",,0,,"2,237,798",,0,
"Hualapai Indian Tribe, dba: Hualapai Tribe",Peach Springs,AZ,99433,Tribe,Reduced Reporter,2022,4,Arizona Non-UZA,"1,296,856",18,MB,Bus,DO,10,0,,0,,0,,0,,"1,105,152",,"1,105,152",,0,
"Cecil County Government , dba: Cecil Transit",Elkton,MD,30108,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",18,DR,Demand Response,DO,10,0,,0,,0,,0,,"537,085",,"537,085",,0,
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority",Jackson,MI,50034,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42157,"Jackson, MI","84,307",18,DR,Demand Response,DO,9,"1,054,162",,"392,854",,"75,623",,"385,997",,0,,"1,908,636",,0,
"City of Jackson Transportation Authority, dba: Jackson Area Transportation Authority",Jackson,MI,50034,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,42157,"Jackson, MI","84,307",18,MB,Bus,DO,9,"1,791,629",,"611,377",,"68,077",,"600,699",,0,,"3,071,782",,0,
Michiana Area Council of Governments,South Bend,IN,50149,"MPO, COG or Other Planning Agency",Full Reporter,2022,26794,"Elkhart, IN--MI","148,199",18,DR,Demand Response,PT,9,"575,756",,"143,119",,"49,885",,"333,854",,0,,"1,102,614",,0,
Michiana Area Council of Governments,South Bend,IN,50149,"MPO, COG or Other Planning Agency",Full Reporter,2022,26794,"Elkhart, IN--MI","148,199",18,MB,Bus,PT,9,"1,614,131",,"759,982",,"106,308",,"689,585",,0,,"3,170,006",,0,
Lima Allen County Regional Transit Authority,Lima,OH,50093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,49852,"Lima, OH","68,630",18,DR,Demand Response,DO,9,0,,0,,0,,0,,"1,117,215",,"1,117,215",,0,
Lima Allen County Regional Transit Authority,Lima,OH,50093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,49852,"Lima, OH","68,630",18,MB,Bus,DO,9,0,,0,,0,,0,,"1,876,886",,"1,876,886",,0,
"City of Jefferson, dba: JEFFTRAN",Jefferson City,MO,70043,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,42967,"Jefferson City, MO","50,775",18,DR,Demand Response,DO,9,0,,0,,0,,0,,"1,474,359",,"1,474,359",,0,
"City of Jefferson, dba: JEFFTRAN",Jefferson City,MO,70043,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,42967,"Jefferson City, MO","50,775",18,MB,Bus,DO,9,0,,0,,0,,0,,"1,801,995",,"1,801,995",,0,
"Town of Huntington, dba: Huntington Area Rapid Transit",Huntington,NY,20071,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",18,MB,Bus,DO,8,"2,603,464",,"446,360",,"87,878",,"429,330",,0,,"3,567,032",,0,
"Hualapai Indian Tribe, dba: Hualapai Tribe",Peach Springs,AZ,99433,Tribe,Reduced Reporter,2022,4,Arizona Non-UZA,"1,296,856",18,DR,Demand Response,DO,8,0,,0,,0,,0,,"570,423",,"570,423",,0,
Valley Transit,Walla Walla,WA,00064,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2022,91405,"Walla Walla, WA--OR","50,013",18,MB,Bus,DO,8,0,,0,,0,,0,,"3,738,575",,"3,738,575",,0,
"Cecil County Government , dba: Cecil Transit",Elkton,MD,30108,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125",18,MB,Bus,DO,8,0,,0,,0,,0,,"1,601,718",,"1,601,718",,0,
"Orange County , dba: Orange County Public Transportation",Hillsborough,NC,40231,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,25228,"Durham, NC","396,118",18,MB,Bus,DO,7,0,,0,,0,,0,,"857,119",,"857,119",,0,
